Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,INCOME_WEALTH_QUANTILE,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2010,A,0,The World Bank,SG_XPD_PR,72,Q1,PT,2025-03-28T00:00:00,2010,23.40159
2010,A,0,The World Bank,SG_XPD_PR_EDUC,72,Q1,PT,2025-03-27T00:00:00,2010,19.77118
2010,A,0,The World Bank,SG_XPD_PR_HLTH,72,Q1,PT,2025-03-27T00:00:00,2010,18.96659
2010,A,0,The World Bank,SG_XPD_PR_SOC,72,Q1,PT,2025-03-27T00:00:00,2010,31.46698
