Year,OBS_STATUS,UNIT_MULT,SOURCE_DETAIL,SERIES,REF_AREA,EDUCATION_LEV,UNIT_MEASURE,DATA_LAST_UPDATE,TIME_DETAIL,Value
2020,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACC_HNDWSH,204,ISCED11_1,PT,2025-03-05T00:00:00,2020,50.64022
2020,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACC_HNDWSH,204,ISCED11_2,PT,2025-03-05T00:00:00,2022,46.70157
2022,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACC_HNDWSH,204,ISCED11_2,PT,2025-03-05T00:00:00,2022,97.75332
2022,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACC_HNDWSH,204,ISCED11_3,PT,2025-03-05T00:00:00,2022,97.17125
2022,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,204,AGG_2_3,PT,2025-03-05T00:00:00,2022,31.78561
2020,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,204,ISCED11_2,PT,2025-03-05T00:00:00,2022,29.05759
2022,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,204,ISCED11_2,PT,2025-03-05T00:00:00,2022,28.51903
2022,A,0,NA Data extracted on 25 February 2025.,SE_ACS_CMPTR,204,ISCED11_3,PT,2025-03-05T00:00:00,2022,37.23242
2014,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,204,ISCED11_1,PT,2025-03-05T00:00:00,2022,40.80491
2016,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,204,ISCED11_1,PT,2025-03-05T00:00:00,2022,20.90925
2018,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,204,ISCED11_1,PT,2025-03-05T00:00:00,2022,25.58659
2019,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,204,ISCED11_1,PT,2025-03-05T00:00:00,2022,28.04375
2020,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,204,ISCED11_1,PT,2025-03-05T00:00:00,2022,33.82326
2021,A,0,SOURCE: UIS Education Survey Data extracted on 25 February 2025.,SE_ACS_ELECT,204,ISCED11_1,PT,2025-03-05T00:00:00,2022,33.09717
